ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
47010,?.,???????????,VRC,VRC35,VRC35-03,3,6,2,1873,06,2968
47024,?.,???????????,SFO,SFO43,SFO43-00,3,8,7,1873,22,2969
47038,?.,???????????,RAZ,RAZ17,RAZ17-00,3,7,5,1873,16,2970
47041,?.,??????????,RAZ,RAZ17,RAZ17-00,3,7,5,1873,16,2971
47055,?.,??????,HKV,HKV34,HKV34-23,3,6,4,1873,26,2972
47069,?.,????????,HKV,HKV11,HKV11-00,3,8,2,1873,26,2973
47072,?.,???????,GAB,GAB35,GAB35-00,3,8,6,1873,07,2974
47086,?.,??????,PDV,PDV17,PDV17-10,3,4,3,1873,15,2975
47096,?.,???????,BGS,BGS23,BGS23-13,3,5,5,1873,02,2976
47101,?.,????????,SZR,SZR24,SZR24-07,3,6,6,1873,23,2977
47113,?.,???????? ??????,PDV,PDV17,PDV17-11,3,6,3,1873,15,2978
47127,?.,?????,GAB,GAB12,GAB12-00,3,8,5,1873,07,2979
47130,?.,?????????,TGV,TGV02,TGV02-00,3,8,6,1873,25,2980
47144,?.,???????,KRZ,KRZ21,KRZ21-04,3,8,7,1873,08,2981
47158,?.,?????????,VTR,VTR13,VTR13-00,3,8,5,1873,04,2982
47161,?.,?????,SHU,SHU30,SHU30-13,3,6,3,1873,27,2983
47175,?.,????????,VTR,VTR04,VTR04-00,3,8,6,1873,04,2984
47189,?.,?????????????,BLG,BLG33,BLG33-25,3,5,3,1873,01,2985
47202,?.,???????,BGS,BGS04,BGS04-09,3,5,1,1873,02,2986
47247,?.,?????? ????,BLG,BLG33,BLG33-00,3,6,2,1873,01,2987
47250,?.,?????? ????,PDV,PDV13,PDV13-00,3,8,5,1873,15,2988
47227,?.,?????????,VTR,VTR13,VTR13-00,3,8,6,1873,04,2989
47264,?.,??????,SFO,SFO39,SFO39-16,3,6,7,1873,22,2991
47295,?.,???????,PDV,PDV26,PDV26-18,3,5,4,1873,15,2992
47305,?.,???????,SZR,SZR04,SZR04-00,3,8,4,1873,23,2993
47319,?.,???????,SHU,SHU19,SHU19-07,3,6,4,1873,27,2994
47322,?.,??????? ???????,VRC,VRC32,VRC32-00,3,8,7,1873,06,2995
47336,??.,??????,RSE,RSE27,RSE27-03,1,4,1,1873,17,2996
47342,?.,???????,KRZ,KRZ16,KRZ16-00,3,8,6,1873,08,2997
47353,?.,?????????,MON,MON36,MON36-00,3,7,6,1873,11,2998
47370,?.,????????,BLG,BLG03,BLG03-00,3,8,7,1873,01,2999
47384,?.,???????????,GAB,GAB35,GAB35-04,3,8,6,1873,07,3000
47408,?.,???????,BLG,BLG13,BLG13-00,3,7,6,1873,01,3001
47411,?.,???????,TGV,TGV24,TGV24-00,3,8,4,1873,25,3002
47425,?.,?????,VTR,VTR13,VTR13-00,3,8,4,1873,04,3003
47439,?.,?????????,VTR,VTR26,VTR26-08,3,6,2,1873,04,3004
47442,?.,?????????,HKV,HKV34,HKV34-24,3,7,5,1873,26,3005
47456,?.,?????????,GAB,GAB35,GAB35-00,3,8,6,1873,07,3006
47468,?.,????????,HKV,HKV28,HKV28-00,3,8,3,1873,26,3007
47473,?.,????????,BLG,BLG49,BLG49-00,3,8,7,1873,01,3008
47487,?.,?????????,VTR,VTR13,VTR13-00,3,8,5,1873,04,3009
47500,?.,????,SZR,SZR27,SZR27-00,3,8,4,1873,23,3010
47528,?.,??????,SLV,SLV11,SLV11-00,3,7,5,1873,19,3011
47531,?.,???????,KRZ,KRZ14,KRZ14-25,3,8,5,1873,08,3012
47545,?.,????? ???,HKV,HKV11,HKV11-00,3,8,3,1873,26,3013
47562,?.,????? ????????,JAM,JAM25,JAM25-00,3,7,3,1873,28,3014
47559,?.,?????? ??????,PAZ,PAZ39,PAZ39-02,3,6,8,1862,12,3015
47583,?.,?????????,VID,VID15,VID15-00,3,8,3,1873,05,3016
47593,?.,????????,MON,MON26,MON26-00,3,5,3,1873,11,3017
47603,?.,???????????,SZR,SZR07,SZR07-05,3,7,3,1873,23,3018
47617,?.,????????,RAZ,RAZ16,RAZ16-07,3,7,4,1873,16,3019
47620,?.,???????,VAR,VAR16,VAR16-09,3,5,4,1873,03,3020
47634,?.,????????,TGV,TGV24,TGV24-24,3,6,5,1873,25,3021
47648,?.,?????????,VID,VID16,VID16-00,3,7,4,1873,05,3022
47651,?.,??????,BGS,BGS17,BGS17-00,3,6,3,1873,02,3023
47665,?.,??????,SZR,SZR04,SZR04-00,3,7,4,1873,23,3024
47679,?.,??????,DOB,DOB15,DOB15-00,3,8,4,1873,24,3025
47682,?.,?????,JAM,JAM25,JAM25-00,3,7,3,1873,28,3026
47696,?.,??????,SLS,SLS10,SLS10-10,3,6,4,1873,18,3027
47706,?.,???????,GAB,GAB05,GAB05-00,3,8,6,1873,07,3028
47714,??.,??????,VRC,VRC27,VRC27-00,1,3,4,1873,06,3029
47723,?.,???????,MON,MON02,MON02-00,3,7,5,1873,11,3030
47737,?.,?????,HKV,HKV28,HKV28-00,3,7,3,1873,26,3031
47754,??.,??????,BLG,BLG40,BLG40-00,1,5,5,1873,01,3032
47768,?.,???????,JAM,JAM07,JAM07-14,3,7,3,1873,28,3033
47771,?.,??????,MON,MON14,MON14-00,3,7,4,1873,11,3034
47785,?.,?????????,SHU,SHU10,SHU10-09,3,7,4,1873,27,3035
47799,?.,???????,BLG,BLG33,BLG33-00,3,8,5,1873,01,3036
47812,?.,??????????,PAZ,PAZ04,PAZ04-04,3,5,4,1873,12,3037
47826,?.,???????,VTR,VTR20,VTR20-05,3,6,3,1873,04,3038
47843,??.,?????????,HKV,HKV09,HKV09-17,1,5,3,1873,26,3039
47857,?.,?????,BLG,BLG01,BLG01-00,3,6,8,1873,01,3040
